Size,Heap Sort, Bubble Sort, Selection Sort, Insertion Sort
1,1.31E-07,1.11E-07,1.12E-07,1.10E-07
2,2.03E-07,1.31E-07,1.32E-07,1.21E-07
3,3.21E-07,1.88E-07,1.80E-07,1.75E-07
4,4.63E-07,2.68E-07,2.45E-07,2.16E-07
5,6.48E-07,3.65E-07,3.41E-07,2.76E-07
6,6.96E-07,4.05E-07,3.66E-07,3.27E-07
7,9.19E-07,5.21E-07,4.68E-07,3.54E-07
8,1.11E-06,6.52E-07,5.39E-07,4.05E-07
9,1.40E-06,7.85E-07,6.71E-07,4.53E-07
10,1.66E-06,9.19E-07,8.14E-07,4.63E-07
11,1.94E-06,1.09E-06,9.18E-07,5.24E-07
12,2.25E-06,1.27E-06,1.01E-06,5.97E-07
13,2.58E-06,1.43E-06,1.03E-06,7.74E-07
14,3.16E-06,1.69E-06,1.18E-06,8.14E-07
15,3.61E-06,1.88E-06,1.41E-06,8.95E-07
16,3.98E-06,2.15E-06,1.63E-06,1.00E-06
17,3.80E-06,1.92E-06,1.40E-06,8.72E-07
18,4.04E-06,2.09E-06,1.52E-06,9.30E-07
19,4.38E-06,2.41E-06,1.67E-06,9.55E-07
20,4.96E-06,2.60E-06,1.79E-06,9.49E-07
21,5.70E-06,2.96E-06,1.83E-06,1.07E-06
22,6.00E-06,3.25E-06,2.04E-06,1.08E-06
23,6.59E-06,3.46E-06,2.20E-06,1.14E-06
24,7.40E-06,3.50E-06,2.20E-06,1.17E-06
25,6.31E-06,3.46E-06,2.15E-06,1.11E-06
26,6.65E-06,3.75E-06,2.28E-06,1.17E-06
27,7.22E-06,3.97E-06,2.43E-06,1.23E-06
28,7.56E-06,4.20E-06,2.62E-06,1.30E-06
29,8.62E-06,4.46E-06,2.47E-06,1.39E-06
30,9.13E-06,4.80E-06,2.57E-06,1.51E-06
